Law Firm	CLSIP Participating Cities - will be updated as new employers register. Updated as of 11/25	# of CLSIP Schedules 1 schedule = 22 interview slots .5 schedule = 11 interview slots	CLSIP Interview Date	Class Years Hiring at CLSIP	Lottery allows interviews on multiple schedules at CLSIP	CLSIP Position Description	Career Webpage and/or Direct Application Information	Firm profiles on Vault, Flo Forward, etc.	Firm Size (lawyers)	Total firmwide 2L 2026 summer associates	Number of 2L 2026 summer associates in each office location	Locations Hiring 1Ls for 2026 Summer Program	Locations Hiring 2Ls for 2027 Summer Program (May include offices not participating in CLSIP)	Summer Program Length  (in weeks)	Summer Program Assignment System  (e.g. free market, rotation, hired into practice group)	Return Offers After the 2L Summer (e.g. offer to join a practice group, general offer to return to the firm, with practice group assigned at a later date, rotation) 	Allows split summer w/ govt./public interest orgs.	Offers visa sponsorship	Weekly Summer Associate Salary	Contact/email which students may reach out to if they have any questions about their application/summer program	What makes this firm unique
A&O Shearman	London, UK - Corporate Finance Only, New York, NY	London - 1 NY - 3	1/9	2L - Summer 2027	No	London: US Summer Associate Programme – London (2028 Entry) Exceed Your Own Expectations with A&O Shearman Join one of the world’s leading financial centres as a Summer Associate in London and become a fully integrated member of our diverse, vibrant, and award-winning team. Our US Corporate Finance group is consistently ranked Tier 1 across debt, equity, and high yield transactions. We are seeking individuals who demonstrate outstanding academic achievement, initiative, and a genuine desire to take on responsibility from day one. What We Offer • Career Launch in US Law: Our London-based summer programme is the ideal starting point for a career in US law, with the prospect of joining A&O Shearman in a full-time, entry-level role in 2027. • Comprehensive Work Experience: Over a 10-week programme, you will participate in training sessions led by our partners, gaining insight into the key elements of US Corporate Finance. You will work as a junior associate on high-profile matters and enjoy weekly social events to help you connect with your colleagues and experience London. • Professional Growth and Development: We are committed to your ongoing development, offering structured training, mentoring, and practical support. You will have access to dedicated mentors and points of contact to ensure you receive the best possible guidance and pastoral care. • Supportive and Inclusive Team: From your first day, you will work closely with partners and associates, taking on early responsibility and developing client relationship skills. You will also have opportunities to contribute to international pro bono work and local community initiatives. • Global Practice and Client Variety: A&O Shearman boasts one of the most sophisticated US practices outside the United States, advising on all US aspects of international capital markets transactions. You will work with a diverse range of clients, including multinational corporations, financial institutions, and governments, on their most complex legal challenges. • International Network: With more than 40 offices worldwide, you will build unrivalled international connections and benefit from the broadest global network among leading law firms. • Competitive Salary and Relocation Support: In addition to professional development, you will receive a competitive salary and support with global mobility and relocation. Who Should Apply We are looking for candidates who: • Candidates looking for a 2L summer position • Demonstrate exceptional academic achievement (JD or equivalent in progress) • Show initiative, drive, and a willingness to take on responsibility • Have a keen interest in practising US law in London • Are eager to work in a collaborative, international environment Application Process • First Round Interview: Successful applicants will be invited to a 20-minute virtual interview with a partner from our US Corporate Finance group. • Second Round Interviews: Successful candidates will be invited to two further virtual interviews (30 minutes each), each conducted by a partner and an associate. In addition, candidates will have the opportunity to participate in a 30-minute Q&A session with a junior associate from the team. This session is designed to help you learn more about the opportunity and the nature of the work undertaken by the team, providing valuable insight to inform your decision-making. • Programme Offers: Candidates who successfully complete the interview process will be offered a place in our 2027 London Summer Associate Programme. Applications will open in early 2026. Contact Us If you have questions about the application process, please feel free to contact us at uscfrecruitment@aoshearman.com. Start your journey with A&O Shearman and shape your future in US law, right here in London.  NY: 2027 Summer Associate Introducing A&O Shearman. We’ve arrived and we’re ready for anything anywhere. With nearly 4,000 lawyers globally, we are equally fluent in English law, U.S. law and the laws of the world’s most dynamic markets. We are now accepting applications for our 2027 U.S. Summer Associate Program. Length: 10 weeks How is work assigned? Summer associates in our New York and Washington, DC offices will participate in our RotationPlus system. RotationPlus combines the best elements of both legacy firms’ assigning models. Summer associates will participate in two five-week practice group rotations. To provide flexibility in exploring practice group interests and customization of the summer associate experience, the Law School Recruitment team will maintain a centralized assignment database that will enable summer associates to explore work outside of their two assigned practice groups. Summer associates can expect to have multiple substantive and social touchpoints with their partner and associate mentors each week. What opportunities for mentorship are available? Each summer associate is paired with a senior mentor (either a partner or counsel) and an associate mentor. Mentors help integrate summer associates into the firm, both substantively and socially. Each of our summer associate also participates in a weekly peer mentoring circle. There are unlimited opportunities for informal mentorship through the many relationships you will form with our lawyers across practice groups during the summer. What opportunities for professional development are available? Our Professional Development team coordinates comprehensive programs as part of Summer Associate University (SAU). Topics include Writing, Negotiations, Professionalism, Research, Inclusion, Wellness, Law Firm Economics and more. Are there opportunities to split between offices? Internationally, summer associates have split between New York/London, New York/Tokyo, and the Bay Area/Tokyo. Within the U.S., summers may split between New York/DC and Texas/NY. We plan to expand international opportunities for summer associates in future summer programs, as we recognize the value of international experience in developing well-rounded lawyers who will be working at A&O Shearman. What is the salary? Summer associates are paid $4,327 per week. Hiring Criteria Required: We are looking for strong academic performance, law school involvement, and an enthusiasm about the practice of law. We also remain strongly committed to inclusion and expect that our associates will view collegiality and teamwork as important personal and firm values. Only JD 2028 law students are eligible to apply. Preferred: Relevant work experience; law journal/moot court participation; foreign language skills. To learn more about our summer program, please see our interactive brochure. 	https://www.aoshearman.com/en	Flo Forward: https://florecruit.com/v2/app/forward/firms/aoshearman 	Nearly 4,000 lawyers globally	36	Boston: 1, Dallas: 4, DC: 6, Houston: 2, Los Angeles: 1, New York: 21, San Francisco: 1	Dallas, Houston	DC, New York	10	NY & DC are Rotation Plus; Summers will rotate in two practice groups and have the option to take assignments outside of the groups they are rotating through. All other US offices are direct placement.	Varies by office location	No	Yes	$4,327	Name: US Law School Recruitment , Email: US-lawschoolrecruitment@AOShearman.com	A&O Shearman combines elite legal work with a collaborative, inclusive culture across key global markets. As a Summer Associate, you’ll gain hands-on experience, mentorship, and exposure to cutting-edge matters that shape industries. Discover how your future can thrive at a firm built for what’s next.
Akin Gump Strauss Hauer & Feld LLP	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.akingump.com/en/careers	Flo Forward: https://florecruit.com/v2/app/forward/firms/ag   Vault: https://vault.com/company-profiles/law/akin-gump-strauss-hauer-feld-llp   Chambers Associate: https://www.chambers-associate.com/akin/true-picture/3522/1	900+	64	Boston: 1, Chicago: 2, Dallas: 14, DC: 12, Houston: 6, Los Angeles: 3, New York: 25, Philadelphia: 1	Boston, Dallas, DC, Houston, Los Angeles, New York, Philadelphia	Boston, Chicago, Dallas, DC, Houston, Los Angeles, New York	10	Free Market	Practice area preferences asked for after offer	No	No	$4,327	Name: Firmwide Recruiting, Email: akingumpattorneyrecruiting@akingump.com	Akin is a leading global law firm with 19 offices around the globe. Our legal work is varied and interesting, offering exciting and challenging opportunities to practice law in one of the world’s largest law firms.  We are defined by five core values: future-focused, diversity-minded, dedicated to excellence, service-oriented, and collaborative.  We have a shared vision to excel, innovate, lead, and help our clients succeed. We view those who join us as critical members of the firm and key to our success. Our clients turn to us for insight on the issues that matter most, trusting our expertise in a wide range of practice areas. Our lawyers are also encouraged to build a strong pro bono practice that provides opportunities to take on significant responsibility, have direct exposure to clients, and develop legal skills.  We cultivate an environment of learning and create opportunities for lawyers to achieve success and satisfaction in their careers. We are committed to opportunity & inclusion and to creating a community where all lawyers can thrive. Wellness is at the top of our minds, and the firm promotes our physical, emotional, financial, and social wellbeing.
Allen Matkins	Century City, CA, Los Angeles, CA, New York, NY, Orange County, CA, San Diego, CA, San Francisco, CA	1	1/8	2L - Summer 2027	N/A	Our Summer Associate Program is designed to give you a real look at life as a practicing attorney. You’ll take on projects that mirror the responsibilities of a junior associate, working side by side with our attorneys to solve client challenges. From drafting substantive work product to attending hearings, depositions, client meetings, and closings, you’ll gain firsthand experience across a variety of practice areas.	https://www.allenmatkins.com/careers/summer-associate-program/index.html	Flo Forward: https://florecruit.com/v2/app/forward/firms/allenmatkins 	265	17	Century City: 2, Los Angeles: 9, New York, New York: 1, Orange County: 4, San Diego: 1	Century City, Los Angeles, New York, Orange County, San Diego, San Francisco	Century City, Los Angeles, New York, Orange County, San Diego, San Francisco	10	As a summer associate, you will have the ability to explore multiple practice areas and seek out assignments in the departments that most interest you. To make the most of your summer, each office has workflow coordinators who help to ensure you receive a variety of assignments and the feedback you need to grow.	Practice area preferences asked for after offer	No	Case-by-case basis	CA: $3,836 NYC: $4,134.62	Name: Hannah Morrish, Email: hmorrish@allenmatkins.com Name: Recruiting Team, Email: joinus@allenmatkins.com	For more than 45 years, Allen Matkins has worked with clients drawn to us by our reputation for market-leading solutions, pragmatism, exemplary quality, approachability, and our unparalleled network of contacts and connections in business and government.  From coast to coast, we offer clients holistic legal solutions with the global reach of a large firm, combined with the lean efficiency of a smaller team. We hire the best legal talent, cultivate and shape our people, and work together to create value not only for our firm, but for the collective success of our clients.
Alston & Bird	Atlanta, GA, Charlotte, NC, Chicago, IL, Dallas, TX, East Palo Alto, CA, Los Angeles, CA, New York, NY, Raleigh, NC, San Francisco, CA, Washington, DC	1	1/9	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027.  Summer Associates will have the opportunity to work with experienced lawyers to hone their legal skills. Summer Associates will be exposed to substantive legal work, including Pro Bono assignments, mentoring and career development opportunities, and will participate in networking events throughout the program.	https://www.alston.com/en/careers/law-students/overview	Flo Forward: https://florecruit.com/v2/app/forward/firms/alston  Vault: https://vault.com/company-profiles/law/alston-bird-llp 	900	46	Atlanta: 20, Charlotte: 5, Chicago: 1, Dallas: 2, DC: 2, Los Angeles: 4, New York: 10, San Francisco: 1, Silicon Valley: 1	Atlanta, Century City, Charlotte, Chicago, Dallas, Los Angeles, New York, Raleigh, San Francisco, Silicon Valley, Washington, DC	Atlanta, Century City, Charlotte, Chicago, Dallas, Los Angeles, New York, Raleigh, San Francisco, Silicon Valley, Washington, DC	9	Free Market	Directly into a practice group	Yes	Case-by-case basis	$4,327	Name: Abby Wang, Email: abby.wang@alston.com	Alston & Bird is a leading global law firm with over 900 attorneys serving clients worldwide across key practice areas, including intellectual property, complex litigation, corporate, and tax. For 132 years, the firm has upheld its founding principles of community service, mutual respect, and hard work—values that continue to define its culture. Recognized as one of the “100 Best Companies to Work For” for 26 consecutive years, Alston & Bird combines professional excellence with a collaborative, inclusive environment.  The firm’s summer associate program offers a realistic preview of life as a first-year associate through substantive client work, hands-on training, and mentorship. Each summer associate receives a tailored experience guided by Partner Mentors, with opportunities to attend depositions, hearings, and client meetings. The program emphasizes skill development in research, writing, and negotiation, while fostering meaningful relationships across practice groups. Assignments are flexible, allowing associates to explore diverse areas of law and identify their preferred practice group for future placement.  Alston & Bird is committed to developing future leaders and partners, providing transparency, professional growth, and a culture rooted in collaboration and client service. Joining Alston & Bird means joining a firm that invests in your success from day one.
Arnold & Porter Kaye Scholer LLP	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.arnoldporter.com/en/careers/law-students-trainee-solicitors/current-opportunities?skip=0&reload=false&scroll=0	Vault: https://vault.com/company-profiles/law/arnold-porter   Flo Forward: https://florecruit.com/v2/app/forward/firms/arnoldporter   Chambers: https://chambers.com/law-firm/arnold-porter-usa-5:3811  Firm Website: https://www.arnoldporter.com/en 	1000+	36	Chicago: 4, DC: 13, Denver: 3, Houston: 2, Los Angeles: 3, New York: 9, San Francisco: 1, Silicon Valley: 1	TBD	Chicago, DC, Denver, Houston, Los Angeles, New York, San Francisco	10	Rotation	Practice area preferences asked for after offer	Yes	Case-by-case basis	$4,327	Name: Jessica Ellias, Email: RecruitingNY@arnoldporter.com	At Arnold & Porter, we are client-driven and industry-focused. With over 1,000 lawyers across 16 offices worldwide, we provide sophisticated regulatory, litigation, and transactional capabilities across multiple industries to over half of the Fortune 100, as well as many other clients.  Drawing on our deep experience and insider perspectives from both the government and the private sector, we develop practical, forward-looking solutions to our clients’ most sophisticated U.S., international, and cross-border needs. Our firmwide, interdisciplinary collaboration is integral to our understanding of the legal and policy frameworks in which complex business and legal issues arise.  In every aspect of our work, we stay true to the firm’s core values: providing exceptional client service; enhancing lives in our communities; prioritizing a collegial work environment; and fostering a diverse workplace through our unyielding commitment to inclusivity.
Axinn	Hartford, CT, New York, NY, San Francisco, CA, Washington, DC	1	1/8	2L - Summer 2027	N/A	Axinn seeks 2nd year law students for our summer associate program who have a demonstrated interest in IP litigation or Antitrust litigation/deal work. Our summer associate program provides students with well rounded exposure to our practice areas. Field trips to court and attending depositions are common throughout the summer.	https://www.axinn.com/en/careers	Chambers: https://chambers.com/law-firm/axinn-usa-5:64283    Chambers Associate: https://www.chambers-associate.com/axinn/true-picture/64283/1   LinkedIn: https://www.linkedin.com/company/axinn-veltrop-harkrider-llp/ 	100+	12	Hartford: 1, New York: 4 DC: 6, San Francisco: 1	N/A	DC, Hartford, New York, San Francisco	10	Summer Associates are hired into a practice group and will be staffed on a matter during the summer while also getting assignments from other areas of interest --like Pro Bono. Summer associates can let us know what types of projects they are most interested in working on and we will do our best to meet those interests.	Directly into a practice group	Yes	No	$4,807	Name: Colleen Tretola, Email: ctretola@axinn.com	Incisive. Inclusive. Invested. We’re Axinn. Experienced, tenacious, and always trial-ready, we are committed to understanding complex legal challenges that impact the future of our clients’ businesses, globally.  Focusing on antitrust, intellectual property, and high-stakes litigation, our extensive teams in the U.S. possess deep knowledge and client-side experience across a range of sectors, including technology, healthcare, life sciences, and consumer products.  With a strong culture of respect, collaboration, and fairness, we build relationships with our clients and colleagues alike — creating opportunity, supporting communities, and acting with purpose. Our client service, entrepreneurialism, and inquisitive nature sit at the heart of the firm, enabling us to prioritize client goals and achieve successful outcomes.  Associate salaries:   Associate Class Salary 1st  $250,000 2nd  $260,000 3rd  $285,000 4th   $335,000 5th  $390,000 6th $415,000 7th  $445,000 8th  $460,000
Baker Botts	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.bakerbotts.com/careers/careers-at-baker-botts	Vault: https://vault.com/company-profiles/law/baker-botts-llp	700	42	Austin: 6, Dallas: 7, DC: 8, Houston: 12, New York: 5, San Francisco: 4	Austin, Dallas, DC, Houston, New York, Palo Alto, San Francisco	Austin, Dallas, DC, Houston, New York, Palo Alto, San Francisco	10	Free Market	Directly into a practice group	Varies by office location	Yes	$4,326	Name: Baker Botts, Email: recruiting@bakerbotts.com	Our lawyers serve clients across numerous geographies, and industries, including energy, technology, life sciences and other growing sectors. Our Teams also have a myriad of interests outside of the office, including family activities, creative pursuits, hobbies and community service. Whatever our lawyers’ passions might be, we are diligent about providing the time and encouragement to pursue them.
Baker McKenzie	New York, NY	1	1/9	1L - Summer 2026 2L - Summer 2027	N/A	Hiring for 1L Summer 2026 and 2L Summer 2027.	https://www.bakermckenzie.com/en/careers		5000	28	Chicago: 5, DC: 2, Houston: 1, Los Angeles: 2, Miami: 1, New York: 4, San Francisco: 1	Dallas, New York	Chicago, Dallas, DC, Houston, Los Angeles, Miami, New York, San Francisco  	10	Free Market	Directly into a practice group	No	No	4,326.92/week (paid bi-weekly)	Name: Jacob Clarke, Email: Jacob.clarke@bakermckenzie.com	We are one of the biggest global law firms in the world but we have a small summer associate program (under 30 students across all US offices). Our Summer Associates will have the flexibility to explore different practice groups and projects quite easily.
BakerHostetler	Not participating	Not participating	N/A	N/A	N/A	N/A	https://www.bakerlaw.com/careers/law-students/	Flo Forward: https://florecruit.com/v2/app/forward/firms/bakerlaw  Vault: https://vault.com/company-profiles/law/bakerhostetler	1000+	38	Atlanta: 4, Chicago: 2, Cincinnati: 1, Cleveland: 8, Columbus: 2, Dallas: 3, Denver: 1, Houston: 2, Los Angeles: 3, New York: 2, Orange County: 2, Orlando: 2, San Francisco: 1, Seattle: 2 and DC: 3	Austin, Cincinnati, Columbus, Denver	TBD	10	Varies by office.	Varies by office location	Varies by office location	Case-by-case basis	Varies by office.	Name: Yesenia Santos, Email: ysantos@bakerlaw.com	BakerHostetler is powering into a bold new era under the dynamic leadership of Chairman Paul Schmidt, with a five-year strategic plan that’s already delivering record-breaking results. Revenue has soared past $1B, and the firm has expanded its national footprint with four new offices and over 650 attorneys added. Fueled by innovation and a tech-forward mindset, it’s been recognized as a top law firm for legal innovation, with cutting-edge teams in digital assets, cybersecurity, and litigation. Financially rock-solid with no debt and 31 years of consecutive growth, the firm offers flexible pricing and strategic staffing across markets. Its inclusive culture, award-winning workplace, and collaborative client service model make it a magnet for top talent and a trusted partner for global clients. From billion-dollar deals to landmark litigation wins, the firm is redefining what it means to lead in the legal industry.
Boies Schiller Flexner LLP	Fort Lauderdale, FL, Los Angeles, CA, Miami, FL, New York, NY, San Francisco, CA, Washington, DC	2	1/7	2L - Summer 2027	N/A	Boies Schiller Flexner is accepting applications for 2027 2L summer associate positions in many of our U.S. offices. We firmly believe that a talented and diverse legal team delivers the best results for our clients, and we are committed to inclusion, openness, and support for all of our employees.  To meet these standards, we welcome summer associates from all backgrounds and law schools.     Our summer program is designed to give summer associates a realistic preview of what everyday life is like as an associate. You will be assigned to high profile cases involving the most complex issues in a variety of industry sectors and across multiple regions of the world. Summer associates will be trained by our partners with whom you will have direct interaction and access. In addition, you will be assigned to an associate mentor who will introduce to you other members at the firm and provide support and mentoring as you learn about our clients, practices, culture, and values.	https://www.bsfllp.com/careers/overview.html		200	24	Albany: 1, DC: 9, Fort Lauderdale 3, New York: 7, San Francisco: 4	Ft. Lauderdale, Miami	DC, Fort Lauderdale, New York, San Francisco	10	Free Market	No practice groups	Yes	Case-by-case basis	$4,327	Name: Erin Levin, Email: attorneyrecruiting@bsfllp.com	Boies Schiller Flexner is a firm of internationally recognized trial lawyers, crisis managers, and strategic advisers known for our creative, aggressive, and efficient pursuit of successful outcomes for our clients.   Our aim is to be the premier disputes-focused law firm, handling the largest, most sophisticated litigation matters around the world.   As a firm, we focus on what matters most: delivering exceptional results for our clients. The emphasis is on excellence, not artificial formalities or hierarchies. We often find the best solutions for our clients’ most difficult problems when everyone feels free to offer their ideas. We want lawyers who are passionate about their work, who are willing to speak up, and who ultimately enjoy working with others in a fast-paced, high-intensity environment.   We provide numerous avenues for attorney development, from small case teams that allow close working relationships with more senior colleagues and training sessions delivered by some of our most experienced lawyers to the ability to choose to work on a wide range of case types as both plaintiffs and defendants (including pro bono matters). Junior attorneys can quickly earn significant opportunities on cases, taking depositions, examining witnesses, and arguing motions.
